Light Crimson Underwing;Catocala promissa
Light Emerald;Campaea margaritaria
Light Feathered Rustic;Agrotis cinerea
Light Grey Tortrix;Cnephasia incertana
Light Knot Grass;Acronicta menyanthidis
Light Magpie;Abraxas pantaria
Light Orange Underwing;Boudinotiana notha
Lilac Beauty;Apeira syringaria
Lime Hawk-moth;Mimas tiliae
Lime-speck Pug;Eupithecia centaureata
Little Emerald;Jodis lactearia
Little Thorn;Cepphis advenaria
Lobster Moth;Stauropus fagi
Local Long-tailed Satin;Trichiocercus sparshalli
Locust Bean Moth;Apomyelois ceratoniae
Lorimer's Rustic;Caradrina flavirena
Lunar Double-stripe;Minucia lunaris
Lunar Hornet Moth;Sesia bembeciformis
Lunar Marbled Brown;Drymonia ruficornis
Lunar Thorn;Selenia lunularia
Lunar Underwing;Omphaloscelis lunosa
Lunar Yellow Underwing;Noctua orbona
Lunar-spotted Pinion;Cosmia pyralina
Lydd Beauty;Peribatodes ilicaria
Lyme Grass;Longalatedes elymi
Maiden's Blush;Cyclophora punctaria
Manchester Treble-bar;Carsia sororiata
Maple Prominent;Ptilodon cucullina
Maple Pug;Eupithecia inturbata
Map-winged Swift;Korscheltellus fusconebulosa
Marbled Beauty;Bryophila domestica
Marbled Brown;Drymonia dodonaea
Marbled Clover;Heliothis viriplaca
Marbled Coronet;Hadena confusa
Marbled Green;Nyctobrya muralis
Marbled Grey;Bryophila raptricula
Marbled Minor;Oligia strigilis
Marbled Orchard Tortrix;Hedya nubiferana
Marbled Pug;Eupithecia irriguata
Marbled Tuffet;Charadra deridens
Marbled White Spot;Deltote pygarga
March Moth;Alsophila aescularia
Marsh Carpet;Gagitodes sagittata
Marsh Dagger;Acronicta strigosa
Marsh Mallow Moth;Hydraecia osseola
Marsh Moth;Athetis pallustris
Marsh Oblique-barred;Hypenodes humidalis
Marsh Pug;Eupithecia pygmaeata
Mathew's Wainscot;Mythimna favicolor
May Highflyer;Hydriomena impluviata
Meal Moth;Pyralis farinalis
Mediterranean Brocade;Spodoptera littoralis
Mediterranean Flour Moth;Ephestia kuehniella
Mediterranean Hawk-moth;Hyles nicaea
Mere Wainscot;Photedes fluxa
Merveille du Jour;Griposia aprilina
Middle Lace Border;Scopula decorata
Middle-barred Minor;Oligia fasciuncula
Minor Shoulder-knot;Brachylomia viminalis
Minsmere Crimson Underwing;Catocala conjuncta
Moorland Clouded Yellow;Colias palaeno
Morris's Wainscot;Photedes morrisii
Mother of Pearl;Pleuroptya ruralis
Mother Shipton;Euclidia mi
Mottled Beauty;Alcis repandata
Mottled Grey;Colostygia multistrigaria
Mottled Pug;Eupithecia exiguata
Mottled Rustic;Caradrina morpheus
Mottled Umber;Erannis defoliaria
Mountain Plume;Stenoptilia islandicus
Mouse Moth;Amphipyra tragopoginis
Mugwort Plume;Hellinsia lienigianus
Mullein Wave;Scopula marginepunctata
Mung Moth;Maruca vitrata
Muslin Footman;Nudaria mundana
Muslin Moth;Diaphora mendica
Narrow-bordered Bee Hawk-moth;Hemaris tityus
Narrow-bordered Five-spot Burnet;Zygaena lonicerae
Narrow-winged Pug;Eupithecia nanata
Neglected Rustic;Xestia castanea
Netted Carpet;Eustroma reticulata
Netted Mountain Moth;Macaria carbonaria
Netted Pug;Eupithecia venosata
New Forest Burnet;Zygaena viciae
Northern Dart;Xestia alpicola
Northern Deep-brown Dart;Aporophyla lueneburgensis
Northern Drab;Orthosia opima
Northern Footman;Eilema complana f. sericea
Northern Rustic;Standfussiana lucernea
Northern Spinach;Eulithis populata
Northern Winter Moth;Operophtera fagata
November Moth;Epirrita dilutata
Nut Bud Moth;Epinotia tenerana
Nut Leaf Blister Moth;Phyllonorycter coryli
Nut-tree Tussock;Colocasia coryli
Oak Beauty;Biston strataria
Oak Eggar;Lasiocampa quercus
Oak Hook-tip;Watsonalla binaria
Oak Lutestring;Cymatophorina diluta
Oak Nycteoline;Nycteola revayana
Oak Processionary;Thaumetopoea processionea
Oak Rustic;Dryobota labecula
Oak Yellow Underwing;Catocala nymphagoga
Oak-tree Pug;Eupithecia dodoneata
Oblique Carpet;Orthonama vittata
Oblique Striped;Phibalapteryx virgata
Obscure Wainscot;Leucania obsoleta
Ochraceous Wave;Idaea serpentata
Ochreous Pug;Eupithecia indigata
Old Lady;Mormo maura
Old World Webworm;Hellula undalis
Oleander Hawk-moth;Daphnis nerii
Olive Crescent;Trisateles emortualis
Olive-tree Beauty;Peribatodes umbraria
Orache Moth;Trachea atriplicis
Orange Footman;Eilema sororcula
Orange Moth;Angerona prunaria
Orange Sallow;Tiliacea citrago
Orange Swift;Triodia sylvina
Orange Underwing;Archiearis parthenias
Orange Upperwing;Jodia croceago
Orange-tailed Clearwing;Synanthedon andrenaeformis
Orchard Ermine;Yponomeuta padella
Oriental Fruit Moth;Grapholita molesta
Ox-tongue Conch;Neocochylis molliculana
Paignton Snout;Hypena obesalis
Painted Meal Moth;Pyralis pictalis
Pale Brindled Beauty;Phigalia pilosaria
Pale Devon Clothes Moth;Nemapogon inconditella
Pale Eggar;Trichiura crataegi
Pale Mottled Willow;Caradrina clavipalpis
Pale November Moth;Epirrita christyi
Pale Oak Beauty;Hypomecis punctinalis
Pale Pinion;Lithophane socia
Pale Prominent;Pterostoma palpina
Pale Shining Brown;Polia bombycina
Pale Shoulder;Acontia lucida
Pale Stigma;Mesogona acetosellae
Pale Tussock;Calliteara pudibunda
Pale-lemon Sallow;Cirrhia ocellaris
Pale-shouldered Brocade;Lacanobia thalassina
Pale-shouldered Cloud;Chloantha hyperici
Palm Moth;Paysandisia archon
Parallel Lines;Grammodes bifasciata
Parsnip Moth;Depressaria radiella
Patton's Tiger;Hyphoraia testudinaria
Pauper Pug;Eupithecia egenaria
Pea Moth;Cydia nigricana
Peach Blossom;Thyatira batis
Peach Twig Borer;Anarsia lineatella
Peacock Moth;Macaria notata
Pear Leaf Blister Moth;Leucoptera malifoliella
Pearly Underwing;Peridroma saucia
Pease Blossom;Periphanes delphinii
Pebble Hook-tip;Drepana falcataria
Pebble Prominent;Notodonta ziczac
Peppered Moth;Biston betularia
Petite Wave;Scopula minorata
Pigmy Footman;Eilema pygmaeola
Pimpinel Pug;Eupithecia pimpinellata
Pine Beauty;Panolis flammea
Pine Bud Moth;Pseudococcyx turionella
Pine Carpet;Pennithera firmata
Pine Cone Tortrix;Gravitarmata margarotana
Pine Hawk-moth;Sphinx pinastri
Pine Leaf-mining Moth;Clavigesta purdeyi
Pine Processionary;Thaumetopoea pityocampa
Pine Resin-gall Moth;Retinia resinella
Pine Shoot Moth;Rhyacionia buoliana
Pine-tree Lappet;Dendrolimus pini
Pinion-spotted Pug;Eupithecia insigniata
Pinion-streaked Snout;Schrankia costaestrigalis
Pink-barred Sallow;Xanthia togata
Pink-spotted Hawk-moth;Agrius cingulata
Pistol Case-bearer;Coleophora anatipennella
Plain Clay;Eugnorisma depuncta
Plain Golden Y;Autographa jota
Plain Plume;Hellinsia tephradactyla
