"id" "species" "tot_photo" "nederNaam" "group" "family"
"108" "Agonopterix heracliana" "0" "gewone kaartmot" "micro" "Elachistidae"
"109" "Agonopterix kaekeritziana" "0" "heldergele kaartmot" "micro" "Elachistidae"
"110" "Agonopterix laterella" "0" "korenbloemkaartmot" "micro" "Elachistidae"
"111" "Agonopterix liturosa" "0" "sint-janskaartmot" "micro" "Elachistidae"
"112" "Agonopterix nanatella" "0" "driedistelkaartmot" "micro" "Elachistidae"
"113" "Agonopterix nervosa" "0" "spitse kaartmot" "micro" "Elachistidae"
"114" "Agonopterix ocellana" "0" "roodvlekkaartmot" "micro" "Elachistidae"
"115" "Agonopterix oinochroa" "0" "geen Nederlandse naam" "micro" "Elachistidae"
"116" "Agonopterix pallorella" "0" "zwartstreepkaartmot" "micro" "Elachistidae"
"117" "Agonopterix propinquella" "0" "zwartvlekkaartmot" "micro" "Elachistidae"
"118" "Agonopterix purpurea" "0" "purperkaartmot" "micro" "Elachistidae"
"119" "Agonopterix scopariella" "0" "vale bremkaartmot" "micro" "Elachistidae"
"120" "Agonopterix subpropinquella" "0" "distelkaartmot" "micro" "Elachistidae"
"121" "Agonopterix umbellana" "0" "gaspeldoornkaartmot" "micro" "Elachistidae"
"122" "Agonopterix yeatiana" "0" "peenkaartmot" "micro" "Elachistidae"
"123" "Agriopis aurantiaria" "1157" "najaarsspanner" "macro" "Geometridae"
"124" "Agriopis leucophaearia" "5262" "kleine voorjaarsspanner" "macro" "Geometridae"
"125" "Agriopis marginaria" "3397" "grote voorjaarsspanner" "macro" "Geometridae"
"126" "Agriphila deliella" "0" "zwartstreepgrasmot" "micro" "Crambidae"
"127" "Agriphila geniculea" "0" "gepijlde grasmot" "micro" "Crambidae"
"128" "Agriphila inquinatella" "0" "moerasgrasmot" "micro" "Crambidae"
"129" "Agriphila latistria" "0" "witlijngrasmot" "micro" "Crambidae"
"130" "Agriphila selasella" "0" "smalle witlijngrasmot" "micro" "Crambidae"
"131" "Agriphila straminella" "0" "blauwooggrasmot" "micro" "Crambidae"
"132" "Agriphila tristella" "0" "variabele grasmot" "micro" "Crambidae"
"133" "Agrius convolvuli" "975" "windepijlstaart" "macro" "Sphingidae"
"134" "Agrochola circellaris" "2755" NA NA NA
"135" "Agrochola helvola" "472" "roodachtige herfstuil" "macro" "Noctuidae"
"136" "Agrochola litura" "0" "zwartgevlekte herfstuil" "macro" "Noctuidae"
"137" "Agrochola lota" "1282" "zwartstipvlinder" "macro" "Noctuidae"
"138" "Agrochola lunosa" "2415" "maansikkeluil" "macro" "Noctuidae"
"139" "Agrochola lychnidis" "405" "variabele herfstuil" "macro" "Noctuidae"
"140" "Agrochola macilenta" "1710" "geelbruine herfstuil" "macro" "Noctuidae"
"141" "Agrochola nitida" "0" "roodbruine herfstuil" "macro" "Noctuidae"
"142" "Agrochola ruticilla" "0" "vroege eikenuil" "macro" "Noctuidae"
"143" "Agrotera nemoralis" "0" "haagbeukmot" "micro" "Crambidae"
"144" "Agrotis cinerea" "208" "grijze worteluil" "macro" "Noctuidae"
"145" "Agrotis clavis" "2482" "geoogde worteluil" "macro" "Noctuidae"
"146" "Agrotis exclamationis" "8137" "gewone worteluil" "macro" "Noctuidae"
"147" "Agrotis ipsilon" "1109" "grote worteluil" "macro" "Noctuidae"
"148" "Agrotis puta" "968" "puta-uil" "macro" "Noctuidae"
"149" "Agrotis ripae" "221" "duinworteluil" "macro" "Noctuidae"
"150" "Agrotis segetum" "972" "gewone velduil" "macro" "Noctuidae"
"151" "Agrotis trux" "0" "zuidelijke worteluil" "macro" "Noctuidae"
"152" "Agrotis vestigialis" "960" "bonte worteluil" "macro" "Noctuidae"
"153" "Alabonia geoffrella" "0" "trompetmotje" "micro" "Oecophoridae"
"154" "Alcis deversata" "0" "gevlekte spikkelspanner" "macro" "Geometridae"
"155" "Alcis jubata" "0" "baardmosspikkelspanner" "macro" "Geometridae"
"156" "Alcis repandata" "932" "variabele spikkelspanner" "macro" "Geometridae"
"157" "Aleimma loeflingiana" "0" "zonnesproetbladroller" "micro" "Tortricidae"
"158" "Aleucis distinctata" "96" "prunusspanner" "macro" "Geometridae"
"159" "Alloclemensia mesospilella" "0" "witpuntbladsnijdermot" "micro" "Incurvariidae"
"160" "Allophyes oxyacanthae" "963" "meidoornuil" "macro" "Noctuidae"
"161" "Alsophila aceraria" "111" "najaarsboomspanner" "macro" "Geometridae"
"162" "Alsophila aescularia" "878" "voorjaarsboomspanner" "macro" "Geometridae"
"163" "Altenia scriptella" "0" "aakpalpmot" "micro" "Gelechiidae"
"164" "Alucita grammodactyla" "0" "duifkruidwaaiermot" "micro" "Alucitidae"
"165" "Alucita hexadactyla" "0" "waaiermot" "micro" "Alucitidae"
"166" "Amata phegea" "875" "phegeavlinder" "macro" "Erebidae"
"167" "Amblyptilia acanthadactyla" "0" "scherphoekvedermot" "micro" "Pterophoridae"
"168" "Amblyptilia punctidactyla" "0" "grijze scherphoekvedermot" "micro" "Pterophoridae"
"169" "Ammoconia caecimacula" "294" "nazomeruil" "macro" "Noctuidae"
"170" "Amphipoea fucosa" "6" "geelbruine vlekuil" "macro" "Noctuidae"
"171" "Amphipoea lucens" "3" "hoogveenvlekuil" "macro" "Noctuidae"
"172" "Amphipoea oculea" "34" "roodbruine vlekuil" "macro" "Noctuidae"
"173" "Amphipyra berbera" "203" "schijn-piramidevlinder" "macro" "Noctuidae"
"174" "Amphipyra perflua" "0" "grote piramidevlinder" "macro" "Noctuidae"
"175" "Amphipyra pyramidea" "923" "piramidevlinder" "macro" "Noctuidae"
"176" "Amphipyra tragopoginis" "140" "boksbaardvlinder" "macro" "Noctuidae"
"177" "Amphisbatis incongruella" "0" "inktmot" "micro" "Lypusidae"
"178" "Amyelois transitella" "0" "transitmot" "micro" "Pyralidae"
"179" "Anacampsis blattariella" "0" "spikkelpalpmot" "micro" "Gelechiidae"
"180" "Anacampsis populella" "0" "populierenspikkelpalpmot" "micro" "Gelechiidae"
"181" "Anacampsis temerella" "0" "wilgspikkelpalpmot" "micro" "Gelechiidae"
"182" "Anania coronata" "0" "gewone coronamot" "micro" "Crambidae"
"183" "Anania crocealis" "0" "gegolfde lichtmot" "micro" "Crambidae"
"184" "Anania funebris" "0" "lichtbalmot" "micro" "Crambidae"
"185" "Anania fuscalis" "0" "hengellichtmot" "micro" "Crambidae"
"186" "Anania hortulata" "0" "bonte brandnetelroller" "micro" "Crambidae"
"187" "Anania lancealis" "0" "lichte coronamot" "micro" "Crambidae"
"188" "Anania perlucidalis" "0" "donkere coronamot" "micro" "Crambidae"
"189" "Anania stachydalis" "0" "bonte coronamot" "micro" "Crambidae"
"190" "Anania terrealis" "0" "guldenroedelichtmot" "micro" "Crambidae"
"191" "Anania verbascalis" "0" "salielichtmot" "micro" "Crambidae"
"192" "Anaplectoides prasina" "111" "bruine groenuil" "macro" "Noctuidae"
"193" "Anaproutia comitella" "0" "" "micro" "Psychidae"
"194" "Anarsia innoxiella" "0" "esdoornscheutboorder" "micro" "Gelechiidae"
"195" "Anarsia lineatella" "0" "perzikscheutboorder" "micro" "Gelechiidae"
"196" "Anarsia spartiella" "0" "bremscheutboorder" "micro" "Gelechiidae"
"197" "Anarta myrtilli" "508" "roodbont heide-uiltje" "macro" "Noctuidae"
"198" "Anarta trifolii" "974" "spurrie-uil" "macro" "Noctuidae"
"199" "Ancylis achatana" "0" "dwarsstreephaakbladroller" "micro" "Tortricidae"
"200" "Ancylis apicella" "0" "fijngestreepte haakbladroller" "micro" "Tortricidae"
"201" "Ancylis badiana" "0" "bonte haakbladroller" "micro" "Tortricidae"
"202" "Ancylis comptana" "0" "kleine haakbladroller" "micro" "Tortricidae"
"203" "Ancylis diminutana" "0" "lichte haakbladroller" "micro" "Tortricidae"
"204" "Ancylis geminana" "0" "witrughaakbladroller" "micro" "Tortricidae"
"205" "Ancylis laetana" "0" "witte haakbladroller" "micro" "Tortricidae"
"206" "Ancylis mitterbacheriana" "0" "oranje haakbladroller" "micro" "Tortricidae"
