"id" "species" "tot_photo" "nederNaam" "group" "family"
"1206" "Euzophera osseatella" "0" "kronkelbandmot" "micro" "Pyralidae"
"1207" "Euzophera pinguis" "0" "tweekleurige lichtmot" "micro" "Pyralidae"
"1208" "Evergestis aenealis" "0" "egale valkmot" "micro" "Crambidae"
"1209" "Evergestis extimalis" "0" "aangebrande valkmot" "micro" "Crambidae"
"1210" "Evergestis forficalis" "0" "lijnvalkmot" "micro" "Crambidae"
"1211" "Evergestis limbata" "0" "gezoomde valkmot" "micro" "Crambidae"
"1212" "Evergestis pallidata" "0" "bonte valkmot" "micro" "Crambidae"
"1213" "Exaeretia allisella" "0" "bijvoetplatlijf" "micro" "Depressariidae"
"1214" "Exapate congelatella" "0" "winterbladroller" "micro" "Tortricidae"
"1215" "Exoteleia dodecella" "0" "dennenlotmot" "micro" "Gelechiidae"
"1216" "Fabula zollikoferi" "0" "oostelijke uil" "macro" "Noctuidae"
"1217" "Fagivorina arenaria" "0" "gespikkelde korstmosspanner" "macro" "Geometridae"
"1218" "Falcaria lacertinaria" "925" "bleke eenstaart" "macro" "Drepanidae"
"1219" "Falseuncaria ruficiliana" "0" "primulabladroller" "micro" "Tortricidae"
"1220" "Friedlanderia cicatricella" "0" "biessnuitmot" "micro" "Crambidae"
"1221" "Furcula bicuspis" "367" "berkenhermelijnvlinder" "macro" "Notodontidae"
"1222" "Furcula bifida" "165" "wilgenhermelijnvlinder" "macro" "Notodontidae"
"1223" "Furcula furcula" "968" "kleine hermelijnvlinder" "macro" "Notodontidae"
"1224" "Gagitodes sagittata" "19" "poelruitspanner" "macro" "Geometridae"
"1225" "Galleria mellonella" "0" "grote wasmot" "micro" "Pyralidae"
"1226" "Gandaritis pyraliata" "885" "gele agaatspanner" "macro" "Geometridae"
"1227" "Gastropacha populifolia" "1" "populierenblad" "macro" "Lasiocampidae"
"1228" "Gastropacha quercifolia" "169" "eikenblad" "macro" "Lasiocampidae"
"1229" "Gelechia hippophaella" "0" "duindoornpalpmot" "micro" "Gelechiidae"
"1230" "Gelechia muscosella" "0" "donkere haakpalpmot" "micro" "Gelechiidae"
"1231" "Gelechia nigra" "0" "zwarte palpmot" "micro" "Gelechiidae"
"1232" "Gelechia rhombella" "0" "zwartlapmot" "micro" "Gelechiidae"
"1233" "Gelechia rhombelliformis" "0" "harpoenpalpmot" "micro" "Gelechiidae"
"1234" "Gelechia sabinellus" "0" "jeneverbeshaakpalpmot" "micro" "Gelechiidae"
"1235" "Gelechia scotinella" "0" "sleedoornhaakpalpmot" "micro" "Gelechiidae"
"1236" "Gelechia senticetella" "0" "zwarte haakpalpmot" "micro" "Gelechiidae"
"1237" "Gelechia sororculella" "0" "haakpalpmot" "micro" "Gelechiidae"
"1238" "Gelechia turpella" "0" "loodgrijze haakpalpmot" "micro" "Gelechiidae"
"1239" "Geometra papilionaria" "887" "zomervlinder" "macro" "Geometridae"
"1240" "Gerinia honoraria" "0" "eikentak" "macro" "xxx"
"1241" "Gibberifera simplana" "0" "witte populierenbladroller" "micro" "Tortricidae"
"1242" "Gillmeria ochrodactyla" "0" "zandvedermot" "micro" "Pterophoridae"
"1243" "Gillmeria pallidactyla" "0" "lichte zandvedermot" "micro" "Pterophoridae"
"1244" "Glaucolepis headleyella" "0" "brunelmineermot" "micro" "Nepticulidae"
"1245" "Globia algae" "1" "moerasplantenboorder" "macro" "Noctuidae"
"1246" "Globia sparganii" "986" "egelskopboorder" "macro" "Noctuidae"
"1247" "Gluphisia crenata" "832" "populierentandvlinder" "macro" "Notodontidae"
"1248" "Glyphipterix bergstraesserella" "0" "breedvleugelparelmot" "micro" "Glyphipterigidae"
"1249" "Glyphipterix equitella" "0" "duinparelmot" "micro" "Glyphipterigidae"
"1250" "Glyphipterix forsterella" "0" "zeggeparelmot" "micro" "Glyphipterigidae"
"1251" "Glyphipterix fuscoviridella" "0" "ongeparelde parelmot " "micro" "Glyphipterigidae"
"1252" "Glyphipterix haworthana" "0" "oranjetipparelmot" "micro" "Glyphipterigidae"
"1253" "Glyphipterix schoenicolella" "0" "knopbiesparelmot" "micro" "Glyphipterigidae"
"1254" "Glyphipterix simpliciella" "0" "kleine parelmot" "micro" "Glyphipterigidae"
"1255" "Glyphipterix thrasonella" "0" "grote parelmot" "micro" "Glyphipterigidae"
"1256" "Glyptoteles leucacrinella" "0" "zwartbandlichtmot" "micro" "Pyralidae"
"1257" "Gnophos furvata" "0" "grote bruine spanner" "macro" "Geometridae"
"1258" "Gnorimoschema herbichii" "0" "schemamotje" "micro" "Gelechiidae"
"1259" "Gnorimoschema streliciella" "0" "donker schemamotje" "micro" "Gelechiidae"
"1260" "Gortyna flavago" "572" "goudgele boorder" "macro" "Noctuidae"
"1261" "Gracillaria syringella" "0" "seringensteltmot" "micro" "Gracillariidae"
"1262" "Graphiphora augur" "97" "dubbelpijl-uil" "macro" "Noctuidae"
"1263" "Grapholita compositella" "0" "sergeant-majoortje" "micro" "Tortricidae"
"1264" "Grapholita discretana" "0" "v-haakspiegelmot" "micro" "Tortricidae"
"1265" "Grapholita funebrana" "0" "pruimenmot" "micro" "Tortricidae"
"1266" "Grapholita gemmiferana" "0" "egaalvlakbladroller" "micro" "Tortricidae"
"1267" "Grapholita janthinana" "0" "rookkleurige fruitmot" "micro" "Tortricidae"
"1268" "Grapholita jungiella" "0" "gerekte haakspiegelmot" "micro" "Tortricidae"
"1269" "Grapholita lathyrana" "0" "oranje spiegelmot" "micro" "Tortricidae"
"1270" "Grapholita lobarzewskii" "0" "kleine fruitmot" "micro" "Tortricidae"
"1271" "Grapholita lunulana" "0" "slanke haakspiegelmot" "micro" "Tortricidae"
"1272" "Grapholita molesta" "0" "grijze fruitmot" "micro" "Tortricidae"
"1273" "Grapholita orobana" "0" "brede haakspiegelmot" "micro" "Tortricidae"
"1274" "Grapholita tenebrosana" "0" "zwarte rozenbladroller" "micro" "Tortricidae"
"1275" "Gravitarmata margarotana" "0" "dennenappelbladroller" "micro" "Tortricidae"
"1276" "Griposia aprilina" "488" "diana-uil" "macro" "Noctuidae"
"1277" "Gymnancyla canella" "0" "loogkruidlichtmot" "micro" "Pyralidae"
"1278" "Gymnoscelis rufifasciata" "935" "zwartkamdwergspanner" "macro" "Geometridae"
"1279" "Gynaephora fascelina" "0" "grauwe borstel" "macro" "xxx"
"1280" "Gynnidomorpha alismana" "0" "alismabladroller" "micro" "Tortricidae"
"1281" "Gynnidomorpha minimana" "0" "kartelbladbladroller" "micro" "Tortricidae"
"1282" "Gynnidomorpha permixtana" "0" "ratelaarbladroller" "micro" "Tortricidae"
"1283" "Gynnidomorpha vectisana" "0" "zwartstipbladroller" "micro" "Tortricidae"
"1284" "Gypsonoma aceriana" "0" "populierenbladroller" "micro" "Tortricidae"
"1285" "Gypsonoma dealbana" "0" "loofboombladroller" "micro" "Tortricidae"
"1286" "Gypsonoma minutana" "0" "rode populierenbladroller" "micro" "Tortricidae"
"1287" "Gypsonoma nitidulana" "0" "grijze populierenbladroller" "micro" "Tortricidae"
"1288" "Gypsonoma oppressana" "0" "zwarte populierenbladroller" "micro" "Tortricidae"
"1289" "Gypsonoma sociana" "0" "witsnuitpopulierenbladroller" "micro" "Tortricidae"
"1290" "Habrosyne pyritoides" "947" "vuursteenvlinder" "macro" "Drepanidae"
"1291" "Hada plebeja" "790" "schaaruil" "macro" "Noctuidae"
"1292" "Hadena albimacula" "49" "witvlek-silene-uil" "macro" "Noctuidae"
"1293" "Hadena bicruris" "395" "gewone silene-uil" "macro" "Noctuidae"
"1294" "Hadena compta" "546" "witband-silene-uil" "macro" "Noctuidae"
"1295" "Hadena confusa" "0" "gevlekte silene-uil" "macro" "Noctuidae"
"1296" "Hadena irregularis" "0" "oorsilene-uil" "macro" "Noctuidae"
"1297" "Hadena perplexa" "12" "variabele silene-uil" "macro" "Noctuidae"
"1298" "Haplotinea ditella" "0" "zwervende zwartschubmot" "micro" "Tineidae"
"1299" "Haplotinea insectella" "0" "zwartschubmot" "micro" "Tineidae"
"1300" "Harpella forficella" "0" "bruine molmboorder" "micro" "Oecophoridae"
"1301" "Harpyia milhauseri" "719" "draak" "macro" "Notodontidae"
"1302" "Hecatera bicolorata" "954" "tweekleurige uil" "macro" "Noctuidae"
"1303" "Hecatera dysodea" "617" "kompassla-uil" "macro" "Noctuidae"
"1304" "Hedya nubiferana" "0" "gewone witvlakbladroller" "micro" "Tortricidae"
"1305" "Hedya ochroleucana" "0" "grote witvlakbladroller" "micro" "Tortricidae"
"1306" "Hedya pruniana" "0" "pruimwitvlakbladroller" "micro" "Tortricidae"
"1307" "Hedya salicella" "0" "pinguintje" "micro" "Tortricidae"
"1308" "Heinemannia festivella" "0" "pandamot" "micro" "Elachistidae"
"1309" "Helcystogramma lutatella" "0" "lichte rietpalpmot" "micro" "Gelechiidae"
"1310" "Helcystogramma rufescens" "0" "rietpalpmot" "micro" "Gelechiidae"
"1311" "Helicoverpa armigera" "492" "katoendaguil" "macro" "Noctuidae"
"1312" "Heliodines roesella" "0" "roestmot" "micro" "Heliodinidae"
"1313" "Heliothela wulfeniana" "0" "brandplekmot" "micro" "Crambidae"
"1314" "Heliothis maritima" "19" "heidedaguil" "macro" "Noctuidae"
"1315" "Heliothis nubigera" "0" "bleke daguil" "macro" "Noctuidae"
"1316" "Heliothis peltigera" "192" "vlekdaguil" "macro" "Noctuidae"
"1317" "Heliothis viriplaca" "233" "lichte daguil" "macro" "Noctuidae"
"1318" "Heliozela hammoniella" "0" "berkenzilvervlekmot" "micro" "Heliozelidae"
"1319" "Heliozela resplendella" "0" "elzenzilvervlekmot" "micro" "Heliozelidae"
"1320" "Heliozela sericiella" "0" "eikenzilvervlekmot" "micro" "Heliozelidae"
"1321" "Hellinsia carphodactyla" "0" "donderkruidvedermot" "micro" "Pterophoridae"
"1322" "Hellinsia didactylites" "0" "roomkleurige vedermot" "micro" "Pterophoridae"
"1323" "Hellinsia distinctus" "0" "alsemvedermot" "micro" "Pterophoridae"
"1324" "Hellinsia lienigianus" "0" "bijvoetvedermot" "micro" "Pterophoridae"
"1325" "Hellinsia tephradactyla" "0" "gevlekte vedermot" "micro" "Pterophoridae"
"1326" "Hellula undalis" "0" "verkennertje" "micro" "Crambidae"
"1327" "Helotropha leucostigma" "436" "gele lis-boorder" "macro" "Noctuidae"
"1328" "Hemaris fuciformis" "787" "glasvleugelpijlstaart" "macro" "Sphingidae"
"1329" "Hemaris tityus" "0" "hommelvlinder" "macro" "Sphingidae"
"1330" "Hemistola chrysoprasaria" "61" "tere zomervlinder" "macro" "Geometridae"
"1331" "Hemithea aestivaria" "874" "kleine zomervlinder" "macro" "Geometridae"
"1332" "Hepialus humuli" "509" "hopwortelboorder" "macro" "Hepialidae"
"1333" "Heringocrania unimaculella" "0" "zilvervlekpurpermot" "micro" "Eriocraniidae"
"1334" "Herminia grisealis" "942" "boogsnuituil" "macro" "Erebidae"
"1335" "Herminia tarsicrinalis" "872" "schaduwsnuituil" "macro" "Erebidae"
"1336" "Herminia tarsipennalis" "916" "lijnsnuituil" "macro" "Erebidae"
"1337" "Heterogenea asella" "35" "kleine slakrups" "macro" "Limacodidae"
"1338" "Hippotion celerio" "44" "wingerdpijlstaart" "macro" "Sphingidae"
"1339" "Hofmannophila pseudospretella" "0" "bruine huismot" "micro" "Oecophoridae"
"1340" "Homoeosoma nebulella" "0" "kruiskruidmot" "micro" "Pyralidae"
"1341" "Homoeosoma nimbella" "0" "zandblauwmot" "micro" "Pyralidae"
"1342" "Homoeosoma sinuella" "0" "smalle weegbreemot" "micro" "Pyralidae"
"1343" "Hoplodrina ambigua" "906" "zuidelijke stofuil" "macro" "Noctuidae"
"1344" "Hoplodrina blanda" "143" "egale stofuil" "macro" "Noctuidae"
"1345" "Hoplodrina octogenaria" "943" "gewone stofuil" "macro" "Noctuidae"
"1346" "Hoplodrina respersa" "15" "grijze stofuil" "macro" "Noctuidae"
"1347" "Horisme aquata" "0" "grijze bosrankspanner" "macro" "Geometridae"
"1348" "Horisme radicaria" "31" "tweelingbosrankspanner" "macro" "Geometridae"
"1349" "Horisme tersata" "59" "egale bosrankspanner" "macro" "Geometridae"
"1350" "Horisme vitalbata" "56" "bruine bosrankspanner" "macro" "Geometridae"
"1351" "Hydraecia micacea" "920" "aardappelstengelboorder" "macro" "Noctuidae"
"1352" "Hydraecia petasitis" "21" "groot-hoefbladboorder" "macro" "Noctuidae"
"1353" "Hydrelia flammeolaria" "402" "geel spannertje" "macro" "Geometridae"
"1354" "Hydrelia sylvata" "0" "elzenspannertje" "macro" "Geometridae"
"1355" "Hydria cervinalis" "127" "grote berberisspanner" "macro" "Geometridae"
"1356" "Hydria undulata" "372" "gegolfde spanner" "macro" "Geometridae"
"1357" "Hydriomena furcata" "283" "variabele spanner" "macro" "Geometridae"
"1358" "Hydriomena impluviata" "897" "groenbandspanner" "macro" "Geometridae"
"1359" "Hylaea fasciaria" "884" "rode dennenspanner" "macro" "Geometridae"
"1360" "Hyles euphorbiae" "36" "wolfsmelkpijlstaart" "macro" "Sphingidae"
"1361" "Hyles gallii" "556" "walstropijlstaart" "macro" "Sphingidae"
"1362" "Hyles livornica" "38" "gestreepte pijlstaart" "macro" "Sphingidae"
"1363" "Hypatima rhomboidella" "0" "zandlopermot" "micro" "Gelechiidae"
"1364" "Hypatopa binotella" "0" "vijfvlekspaandermot" "micro" "Blastobasidae"
"1365" "Hypatopa inunctella" "0" "platte spaandermot" "micro" "Blastobasidae"
"1366" "Hypena crassalis" "193" "bosbessnuituil" "macro" "Erebidae"
"1367" "Hypena obesalis" "2" "brandnetelsnuituil" "macro" "Erebidae"
"1368" "Hypena obsitalis" "24" "dubbelstipsnuituil" "macro" "Erebidae"
"1369" "Hypena proboscidalis" "883" "bruine snuituil" "macro" "Erebidae"
"1370" "Hypena rostralis" "859" "hopsnuituil" "macro" "Erebidae"
"1371" "Hypenodes humidalis" "283" "moeras-micro-uil" "macro" "Erebidae"
"1372" "Hypochalcia ahenella" "0" "ganzenvoetmot" "micro" "Pyralidae"
"1373" "Hypomecis punctinalis" "944" "ringspikkelspanner" "macro" "Geometridae"
"1374" "Hypomecis roboraria" "546" "grote spikkelspanner" "macro" "Geometridae"
"1375" "Hyppa rectilinea" "4" "zwartstreepuil" "macro" "Noctuidae"
"1376" "Hypsopygia costalis" "0" "triangelmot" "micro" "Pyralidae"
"1377" "Hypsopygia glaucinalis" "0" "tweelijnmot" "micro" "Pyralidae"
"1378" "Idaea aversata" "880" "grijze stipspanner" "macro" "Geometridae"
"1379" "Idaea biselata" "917" "schildstipspanner" "macro" "Geometridae"
"1380" "Idaea degeneraria" "0" "bandstipspanner" "macro" "Geometridae"
"1381" "Idaea dilutaria" "0" "parelstipspanner" "macro" "Geometridae"
"1382" "Idaea dimidiata" "897" "vlekstipspanner" "macro" "Geometridae"
"1383" "Idaea emarginata" "701" "geblokte stipspanner" "macro" "Geometridae"
"1384" "Idaea fuscovenosa" "862" "dwergstipspanner" "macro" "Geometridae"
"1385" "Idaea humiliata" "137" "streepstipspanner" "macro" "Geometridae"
"1386" "Idaea inquinata" "40" "roestige stipspanner" "macro" "Geometridae"
"1387" "Idaea laevigata" "109" "strooiselstipspanner" "macro" "Geometridae"
"1388" "Idaea muricata" "309" "geelpurperen spanner" "macro" "Geometridae"
"1389" "Idaea ochrata" "226" "okergele spanner" "macro" "Geometridae"
"1390" "Idaea rusticata" "916" "schaduwstipspanner" "macro" "Geometridae"
"1391" "Idaea seriata" "919" "paardenbloemspanner" "macro" "Geometridae"
"1392" "Idaea straminata" "359" "egale stipspanner" "macro" "Geometridae"
"1393" "Idaea subsericeata" "955" "satijnstipspanner" "macro" "Geometridae"
"1394" "Idaea sylvestraria" "78" "randstipspanner" "macro" "Geometridae"
"1395" "Idaea trigeminata" "0" "zuidelijke stipspanner" "macro" "Geometridae"
"1396" "Idia calvaria" "0" "donkerbruine snuituil" "macro" "Erebidae"
"1397" "Incurvaria koerneriella" "0" "beukenbladsnijdermot" "micro" "Incurvariidae"
"1398" "Incurvaria masculella" "0" "gewone witvlekmot" "micro" "Incurvariidae"
"1399" "Incurvaria oehlmanniella" "0" "bosbeswitvlekmot" "micro" "Incurvariidae"
"1400" "Incurvaria pectinea" "0" "berkenbladsnijdermot" "micro" "Incurvariidae"
"1401" "Incurvaria praelatella" "0" "aardbeiwitvlekmot" "micro" "Incurvariidae"
"1402" "Infurcitinea argentimaculella" "0" "moswortelmot" "micro" "Tineidae"
"1403" "Infurcitinea ignicomella" "0" "zandkroeskopje" "micro" "Tineidae"
"1404" "Infurcitinea teriolella" "0" "italiaans zandkroeskopje" "micro" "Tineidae"
"1405" "Ipimorpha retusa" "187" "heremietuil" "macro" "Noctuidae"
"1406" "Ipimorpha subtusa" "478" "tweekleurige heremietuil" "macro" "Noctuidae"
"1407" "Isophrictis anthemidella" "0" "scherpe streepbandmot" "micro" "Gelechiidae"
"1408" "Isophrictis striatella" "0" "streepbandmot" "micro" "Gelechiidae"
"1409" "Isotrias rectifasciana" "0" "v-bandbladroller" "micro" "Tortricidae"
"1410" "Isturgia limbaria" "19" "oranje bremspanner" "macro" "Geometridae"
"1411" "Jodia croceago" "0" "wintergouduil" "macro" "Noctuidae"
"1412" "Jodis lactearia" "893" "melkwitte zomervlinder" "macro" "Geometridae"
"1413" "Jodis putata" "120" "spaansgroene zomervlinder" "macro" "Geometridae"
"1414" "Karsholtia marianii" "0" "Karsholts kroeskopje" "micro" "Tineidae"
"1415" "Korscheltellus fusconebulosa" "0" "gemarmerde wortelboorder" "macro" "Hepialidae"
"1416" "Lacanobia contigua" "140" "geoogde w-uil" "macro" "Noctuidae"
"1417" "Lacanobia oleracea" "865" "groente-uil" "macro" "Noctuidae"
"1418" "Lacanobia splendens" "126" "moeras-w-uil" "macro" "Noctuidae"
"1419" "Lacanobia suasa" "717" "variabele w-uil" "macro" "Noctuidae"
"1420" "Lacanobia thalassina" "204" "w-uil" "macro" "Noctuidae"
"1421" "Lacanobia w-latinum" "374" "brede-w-uil" "macro" "Noctuidae"
"1422" "Laelia coenosa" "31" "moerasspinner" "macro" "Erebidae"
"1423" "Lamoria anella" "0" "witvlekhommelmot" "micro" "Pyralidae"
"1424" "Lampronia capitella" "0" "bessenscheutboorder" "micro" "Prodoxidae"
"1425" "Lampronia corticella" "0" "frambozenscheutboorder" "micro" "Prodoxidae"
"1426" "Lampronia flavimitrella" "0" "tweebandscheutboorder" "micro" "Prodoxidae"
"1427" "Lampronia fuscatella" "0" "berkengalmot" "micro" "Prodoxidae"
"1428" "Lampronia luzella" "0" "zwartkopscheutboorder" "micro" "Prodoxidae"
"1429" "Lampronia morosa" "0" "rozenscheutboorder" "micro" "Prodoxidae"
"1430" "Lampropteryx suffumata" "31" "fraaie walstrospanner" "macro" "Geometridae"
"1431" "Lamprotes c-aureum" "69" "akelei-uil" "macro" "Noctuidae"
"1432" "Laothoe populi" "854" "populierenpijlstaart" "macro" "Sphingidae"
"1433" "Larentia clavaria" "86" "malvabandspanner" "macro" "Geometridae"
"1434" "Lasiocampa quercus" "812" "hageheld" "macro" "Lasiocampidae"
"1435" "Lasiocampa trifolii" "447" "kleine hageheld" "macro" "Lasiocampidae"
"1436" "Laspeyria flexula" "924" "bruine sikkeluil" "macro" "Erebidae"
"1437" "Lateroligia ophiogramma" "883" "moeras-grasuil" "macro" "Noctuidae"
"1438" "Lathronympha strigana" "0" "hertshooibladroller" "micro" "Tortricidae"
"1439" "Lemonia dumi" "0" "herfstspinner" "macro" "Brahmaeidae"
"1440" "Lenisa geminipuncta" "400" "gestippelde rietboorder" "macro" "Noctuidae"
"1441" "Leucania comma" "944" "komma-uil" "macro" "Noctuidae"
"1442" "Leucania loreyi" "1" "kosmopoliet" "macro" "Noctuidae"
"1443" "Leucania obsoleta" "864" "gestreepte rietuil" "macro" "Noctuidae"
"1444" "Leucodonta bicoloria" "92" "tweekleurige tandvlinder" "macro" "Notodontidae"
"1445" "Leucoma salicis" "850" "satijnvlinder" "macro" "Erebidae"
"1446" "Leucoptera laburnella" "0" "goudenregenmot" "micro" "Lyonetiidae"
"1447" "Leucoptera lotella" "0" "rolklaversneeuwmot" "micro" "Lyonetiidae"
"1448" "Leucoptera lustratella" "0" "hertshooisneeuwmot" "micro" "Lyonetiidae"
"1449" "Leucoptera malifoliella" "0" "appelsneeuwmot" "micro" "Lyonetiidae"
"1450" "Leucoptera sinuella" "0" "populierensneeuwmot" "micro" "Lyonetiidae"
"1451" "Leucoptera spartifoliella" "0" "bremsneeuwmot" "micro" "Lyonetiidae"
"1452" "Leucospilapteryx omissella" "0" "bijvoetblaarmot" "micro" "Gracillariidae"
"1453" "Levipalpus hepatariella" "0" "leverplatlijf" "micro" "Elachistidae"
"1454" "Ligdia adustata" "937" "aangebrande spanner" "macro" "Geometridae"
"1455" "Limnaecia phragmitella" "0" "lisdoddeveertje" "micro" "Cosmopterigidae"
"1456" "Lithophane furcifera" "18" "kleine manteluil" "macro" "Noctuidae"
"1457" "Lithophane lamda" "30" "gageluil" "macro" "Noctuidae"
"1458" "Lithophane leautieri" "259" "coniferenuil" "macro" "Noctuidae"
"1459" "Lithophane ornitopus" "214" "lichtgrijze uil" "macro" "Noctuidae"
"1460" "Lithophane semibrunnea" "218" "bruine essenuil" "macro" "Noctuidae"
"1461" "Lithophane socia" "142" "geelbruine houtuil" "macro" "Noctuidae"
"1462" "Lithosia quadra" "406" "viervlakvlinder" "macro" "Erebidae"
"1463" "Lithostege griseata" "0" "lichtgrijze spanner" "macro" "Geometridae"
"1464" "Litoligia literosa" "117" "duinhalmuiltje" "macro" "Noctuidae"
"1465" "Lobesia abscisana" "0" "slangenkruidbladroller" "micro" "Tortricidae"
"1466" "Lobesia artemisiana" "0" "bijvoetbladroller" "micro" "Tortricidae"
"1467" "Lobesia botrana" "0" "druivenbladroller" "micro" "Tortricidae"
"1468" "Lobesia euphorbiana" "0" "wolfsmelkbladroller" "micro" "Tortricidae"
"1469" "Lobesia littoralis" "0" "strandkruidbladroller" "micro" "Tortricidae"
"1470" "Lobesia reliquana" "0" "harlekijnbladroller" "micro" "Tortricidae"
"1471" "Lobophora halterata" "788" "lichte blokspanner" "macro" "Geometridae"
"1472" "Lomaspilis marginata" "897" "gerande spanner" "macro" "Geometridae"
"1473" "Lomographa bimaculata" "697" "tweevlekspanner" "macro" "Geometridae"
"1474" "Lomographa temerata" "790" "witte schaduwspanner" "macro" "Geometridae"
"1475" "Longalatedes elymi" "150" "zandhaverboorder" "macro" "Noctuidae"
"1476" "Loxostege sticticalis" "0" "geelzoommot" "micro" "Crambidae"
"1477" "Lozotaenia forsterana" "0" "gemarmerde drievlekbladroller" "micro" "Tortricidae"
"1478" "Lozotaeniodes formosana" "0" "stipjesbladroller" "micro" "Tortricidae"
"1479" "Luffia ferchaultella" "0" "hoornzakdrager" "micro" "Psychidae"
"1480" "Luperina testacea" "948" "gewone grasuil" "macro" "Noctuidae"
"1481" "Luquetia lobella" "0" "tienvlekmot" "micro" "Elachistidae"
"1482" "Lycia hirtaria" "901" "dunvlerkspanner" "macro" "Geometridae"
"1483" "Lycia zonaria" "25" "rouwrandspanner" "macro" "Geometridae"
"1484" "Lycophotia molothina" "24" NA NA NA
"1485" "Lycophotia porphyrea" "961" "granietuil" "macro" "Noctuidae"
"1486" "Lygephila pastinum" "53" "wikke-uil" "macro" "Erebidae"
"1487" "Lymantria dispar" "853" "plakker" "macro" "Erebidae"
"1488" "Lymantria monacha" "691" "nonvlinder" "macro" "Erebidae"
"1489" "Lyonetia clerkella" "0" "hangmatmot" "micro" "Lyonetiidae"
"1490" "Lyonetia prunifoliella" "0" "sleedoornhangmatmot" "micro" "Lyonetiidae"
"1491" "Lypusa maurella" "0" "houtskoolmot" "micro" "Lypusidae"
"1492" "Lythria cruentaria" "780" "zuringspanner" "macro" "Geometridae"
"1493" "Macaria alternata" "895" "donker klaverblaadje" "macro" "Geometridae"
"1494" "Macaria artesiaria" "2" "wilgenspanner" "macro" "Geometridae"
"1495" "Macaria brunneata" "157" "bosbesbruintje" "macro" "Geometridae"
"1496" "Macaria liturata" "805" "gerimpelde spanner" "macro" "Geometridae"
"1497" "Macaria notata" "864" "klaverblaadje" "macro" "Geometridae"
"1498" "Macaria signaria" "84" "lariksspanner" "macro" "Geometridae"
"1499" "Macaria wauaria" "245" "zwarte-w-vlinder" "macro" "Geometridae"
"1500" "Macdunnoughia confusa" "841" "getekende gamma-uil" "macro" "Noctuidae"
"1501" "Macrochilo cribrumalis" "518" "stippelsnuituil" "macro" "Erebidae"
"1502" "Macroglossum stellatarum" "666" "kolibrievlinder" "macro" "Sphingidae"
"1503" "Macrosaccus robiniella" "0" "acaciavouwmot" "micro" "Gracillariidae"
"1504" "Macrothylacia rubi" "859" "veelvraat" "macro" "Lasiocampidae"
"1505" "Malacosoma castrensis" "213" "heideringelrups" "macro" "Lasiocampidae"
"1506" "Malacosoma neustria" "898" "ringelrups" "macro" "Lasiocampidae"
"1507" "Mamestra brassicae" "858" "kooluil" "macro" "Noctuidae"
"1508" "Marasmarcha lunaedactyla" "0" "stalkruidvedermot" "micro" "Pterophoridae"
"1509" "Matilella fusca" "0" "grijze heidelichtmot" "micro" "Pyralidae"
"1510" "Mecyna flavalis" "0" "geelwitte kruidenmot" "micro" "Crambidae"
"1511" "Meganola albula" "463" "groot visstaartje" "macro" "Nolidae"
"1512" "Meganola strigula" "3" "donker visstaartje" "macro" "Nolidae"
"1513" "Meganola togatulalis" "0" "zwartlijnvisstaartje" "macro" "Nolidae"
"1514" "Melanchra persicariae" "892" "perzikkruiduil" "macro" "Noctuidae"
"1515" "Melanthia procellata" "225" "witvlekbosrankspanner" "macro" "Geometridae"
"1516" "Menophra abruptaria" "20" "zwartvlekspikkelspanner" "macro" "Geometridae"
"1517" "Merrifieldia baliodactylus" "0" "marjoleinvedermot" "micro" "Pterophoridae"
"1518" "Merrifieldia leucodactyla" "0" "tijmvedermot" "micro" "Pterophoridae"
"1519" "Mesapamea secalella" "21" "weidehalmuiltje" "macro" "Noctuidae"
"1520" "Mesapamea secalis" "15" "halmrupsvlinder" "macro" "Noctuidae"
"1521" "Mesogona oxalina" "0" "hoeklijnuil" "macro" "Noctuidae"
"1522" "Mesoleuca albicillata" "221" "brummelspanner" "macro" "Geometridae"
"1523" "Mesoligia furuncula" "971" "zandhalmuiltje" "macro" "Noctuidae"
"1524" "Mesotype didymata" "65" "pijlkruidspanner" "macro" "Geometridae"
"1525" "Metalampra cinnamomea" "0" "kaneelsikkelmot" "micro" "Oecophoridae"
"1526" "Metalampra italica" "0" "italiaanse kaneelsikkelmot" "micro" "Oecophoridae"
"1527" "Metendothenia atropunctana" "0" "kleine stipbladroller" "micro" "Tortricidae"
"1528" "Metriotes lutarea" "0" "grijze muurkokermot" "micro" "Coleophoridae"
"1529" "Metzneria aestivella" "0" "driedistelpalpmot" "micro" "Gelechiidae"
"1530" "Metzneria aprilella" "0" "karmozijnrode distelpalpmot" "micro" "Gelechiidae"
"1531" "Metzneria lappella" "0" "klispalpmot" "micro" "Gelechiidae"
"1532" "Metzneria metzneriella" "0" "knoopkruidpalpmot" "micro" "Gelechiidae"
"1533" "Micropterix aruncella" "0" "vroege oermot" "micro" "Micropterigidae"
"1534" "Micropterix aureatella" "0" "gebandeerde oermot" "micro" "Micropterigidae"
"1535" "Micropterix calthella" "0" "dotterbloemoermot" "micro" "Micropterigidae"
"1536" "Micropterix mansuetella" "0" "zeggeoermot" "micro" "Micropterigidae"
"1537" "Micropterix osthelderi" "0" "bergoermot" "micro" "Micropterigidae"
"1538" "Micropterix schaefferi" "0" "gelderse oermot" "micro" "Micropterigidae"
