species, gbif_key
Caloptilia roscipennella, 5104862
Caloptilia rufipennella, 5104781
Caloptilia semifascia, 5104927
Caloptilia stigmatella, 5104891
Caloptilia suberinella, 5105054
Calybites phasianipennella, 1749070
Cameraria ohridella, 1749449
Canephora hirsuta, 5122446
Capperia britanniodactylus, 1859872
Capua vulgana, 1748456
Carbatina picrocarpa, 1847327
Carcina quercana, 1841261
Carpatolechia aenigma, 4527944
Carpatolechia alburnella, 1849284
Carpatolechia decorella, 1849273
Carpatolechia fugacella, 1849279
Carpatolechia fugitivella, 1849294
Carpatolechia notatella, 1849274
Carpatolechia proximella, 1849267
Caryocolum alsinella, 1850110
Caryocolum blandella, 1850108
Caryocolum blandulella, 1850085
Caryocolum cauligenella, 1850107
Caryocolum fischerella, 1850114
Caryocolum fraternella, 1850106
Caryocolum kroesmanniella, 1850087
Caryocolum marmorea, 1850077
Caryocolum proxima, 1850073
Caryocolum tricolorella, 1850127
Cataclysta lemnata, 1872368
Catoptria falsella, 1884403
Catoptria fulgidella, 1884280
Catoptria lythargyrella, 1884312
Catoptria margaritella, 100449935
Catoptria osthelderi, 1884329
Catoptria permutatellus, 1884332
Catoptria pinella, 1884255
Catoptria verellus, 1884370
Cauchas fibulella, 4522891
Cauchas rufimitrella, 4522886
Cedestis gysseleniella, 4525364
Cedestis subfasciella, 1830802
Celypha aurofasciana, 4529900
Celypha cespitana, 1743768
Celypha lacunana, 1744593
Celypha rivulana, 1744588
Celypha rosaceana, 4529908
Celypha rufana, 4529908
Celypha rurestrana, 4529915
Celypha siderana, 1742183
Celypha striana, 1743775
Celypha tiedemanniana, 1744611
Chilo phragmitella, 1883161
Chionodes continuella, 1851000
Chionodes distinctella, 1850998
Chionodes electella, 1851010
Chionodes fumatella, 1850878
Chionodes tragicella, 1850895
Choreutis nemorana, 5123474
Choreutis pariana, 5769164
Choristoneura diversana, 5102642
Choristoneura hebenstreitella, 5102628
Choristoneura lafauryana, 5771482
Choristoneura murinana, 8364077
Chrysoclista lathamella, 1853081
Chrysoclista linneella, 100448504
Chrysoesthia drurella, 1851347
Chrysoesthia sexguttella, 1851337
Chrysoteuchia culmella, 1887290
Clavigesta purdeyi, 1748203
Clavigesta sylvestrana, 1748202
Clepsis consimilana, 7466487
Clepsis dumicolana, 1737437
Clepsis neglectana, 1737466
Clepsis pallidana, 1737368
Clepsis peritana, 4530608
Clepsis rurinana, 1737497
Clepsis senecionana, 1737342
Clepsis spectrana, 1737491
Cnaemidophorus rhododactyla, 1858637
Cnephasia asseclana, 1739284
Cnephasia communana, 1739077
Cnephasia genitalana, 1739072
Cnephasia incertana, 1739128
Cnephasia longana, 1739290
Cnephasia pasiuana, 7794941
Cnephasia pumicana, 7794941
Cnephasia sedana, 1739180
Cnephasia stephensiana, 1739272
Cochylidia implicitana, 1739461
Cochylidia richteriana, 1739468
Cochylidia rupicola, 1739449
Cochylimorpha alternana, 1741253
Cochylimorpha straminea, 1741147
Cochylis atricapitana, 10930537
Cochylis dubitana, 1741633
Cochylis flaviciliana, 1741634
Cochylis hybridella, 1741667
Cochylis molliculana, 1741590
Cochylis nana, 1741673
Cochylis pallidana, 1741615
Cochylis posterana, 1741611
Cochylis roseana, 1741621
Coleophora adjunctella, 5121672
Coleophora adspersella, 5121622
Coleophora ahenella, 5121284
Coleophora albicans, 5120584
Coleophora albicosta, 5121097
Coleophora albicostella, 5121055
Coleophora albidella, 5121032
Coleophora albitarsella, 5120916
Coleophora alcyonipennella, 5121177
Coleophora alnifoliae, 5120751
Coleophora alticolella, 5120668
Coleophora anatipenella, 100449193
Coleophora argentula, 5121287
Coleophora artemisicolella, 5121212
Coleophora asteris, 5121109
Coleophora atriplicis, 5120880
Coleophora badiipennella, 5120592
Coleophora betulella, 5121711
Coleophora binderella, 5121432
Coleophora boreella, 5121232
Coleophora bornicensis, 5121217
Coleophora caelebipennella, 5121016
Coleophora caespititiella, 5120990
Coleophora calycotomella, 5120885
Coleophora chalcogrammella, 5121647
Coleophora clypeiferella, 5121271
Coleophora conspicuella, 5121021
Coleophora conyzae, 5120955
Coleophora coracipennella, 5120915
Coleophora cornutella, 5120803
Coleophora coronillae, 5120789
Coleophora currucipennella, 5121786
Coleophora deauratella, 5121613
Coleophora deviella, 5121347
Coleophora discordella, 5121046
Coleophora ditella, 5120984
Coleophora flavipennella, 5121339
Coleophora follicularis, 6097246
Coleophora fuscocuprella, 5120798
Coleophora galbulipennella, 5120746
Coleophora gallipennella, 5120663
Coleophora genistae, 5121795
Coleophora glaucicolella, 5121686
Coleophora glitzella, 5121634
Coleophora graminicolella, 100449329
Coleophora granulatella, 5121591
Coleophora gryphipennella, 5121476
Coleophora hemerobiella, 5121105
Coleophora hydrolapathella, 5120762
Coleophora ibipennella, 5120696
Coleophora juncicolella, 5121183
Coleophora kuehnella, 6097245
Coleophora laricella, 5120767
Coleophora lassella, 5120685
Coleophora limoniella, 5120470
Coleophora limosipennella, 5121509
Coleophora lineolea, 6097243
Coleophora lithargyrinella, 5121351
Coleophora lixella, 5121244
Coleophora lusciniaepennella, 5121136
Coleophora lutipennella, 5121027
Coleophora maritimella, 5120551
Coleophora mayrella, 5120675
Coleophora milvipennis, 5121714
Coleophora niveicostella, 5120852
Coleophora obscenella, 5120584
Coleophora ochrea, 5121758
Coleophora ochripennella, 5121611
Coleophora orbitella, 5120538
Coleophora otidipennella, 5121737
Coleophora pennella, 6097241
Coleophora peribenanderi, 5121495
Coleophora potentillae, 5121026
Coleophora prunifoliae, 5120771
Coleophora pyrrhulipennella, 5121698
